Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2009-09-26,Wigan,Chelsea,3,1,H,1,0,H,15,14,9,8,11,11,4,7,1,2,0,1
2009-09-27,Sunderland,Wolves,5,2,H,1,0,H,10,15,8,11,18,11,7,8,1,3,0,0
2009-09-28,Man City,West Ham,3,1,H,2,1,H,20,12,12,8,18,14,11,5,1,1,0,0
2009-10-03,Bolton,Tottenham,2,2,D,1,1,D,12,17,9,9,15,16,5,6,2,1,0,0
2009-10-03,Burnley,Birmingham,2,1,H,0,0,D,15,10,13,6,17,11,8,4,0,3,0,0
2009-10-03,Hull,Wigan,2,1,H,0,0,D,11,13,6,5,14,8,4,2,0,2,0,0
2009-10-03,Man United,Sunderland,2,2,D,0,1,A,17,4,9,3,11,15,14,1,2,3,0,1
2009-10-03,Wolves,Portsmouth,0,1,A,0,1,A,11,12,5,8,8,12,8,6,1,2,0,0
2009-10-04,Arsenal,Blackburn,6,2,H,3,2,H,24,7,18,7,9,10,8,1,1,1,0,0
2009-10-04,Chelsea,Liverpool,2,0,H,0,0,D,12,12,8,3,14,17,5,8,1,1,0,0
2009-10-04,Everton,Stoke,1,1,D,0,0,D,24,8,17,6,5,15,11,4,1,3,0,0
2009-10-04,West Ham,Fulham,2,2,D,1,0,H,20,10,10,6,12,9,8,4,3,2,0,1
2009-10-05,Aston Villa,Man City,1,1,D,1,0,H,12,9,6,7,10,8,6,6,1,2,0,0
2009-10-17,Arsenal,Birmingham,3,1,H,2,1,H,20,3,12,2,8,16,7,3,1,2,0,0
2009-10-17,Aston Villa,Chelsea,2,1,H,1,1,D,7,21,5,13,19,13,6,9,2,1,0,0
2009-10-17,Everton,Wolves,1,1,D,0,0,D,13,12,5,6,6,15,6,5,1,3,0,1
2009-10-17,Man United,Bolton,2,1,H,2,0,H,13,15,7,7,15,8,13,1,0,1,0,0
2009-10-17,Portsmouth,Tottenham,1,2,A,0,2,A,23,9,13,4,14,13,10,9,3,3,1,1
2009-10-17,Stoke,West Ham,2,1,H,1,1,D,11,12,4,11,16,13,5,6,3,3,0,0
2009-10-17,Sunderland,Liverpool,1,0,H,1,0,H,13,15,7,6,20,17,1,7,2,1,0,0
2009-10-18,Blackburn,Burnley,3,2,H,3,1,H,12,9,6,5,18,14,3,2,3,3,0,0
2009-10-18,Wigan,Man City,1,1,D,1,0,H,13,5,7,4,15,11,6,6,2,1,0,1
2009-10-19,Fulham,Hull,2,0,H,1,0,H,17,5,11,2,13,15,7,4,1,1,0,0
2009-10-24,Birmingham,Sunderland,2,1,H,1,0,H,19,14,13,6,9,14,6,8,3,1,0,0
2009-10-24,Burnley,Wigan,1,3,A,1,1,D,12,13,9,8,12,11,7,4,2,0,0,0
2009-10-24,Chelsea,Blackburn,5,0,H,1,0,H,26,5,15,2,8,10,8,0,0,1,0,0
2009-10-24,Hull,Portsmouth,0,0,D,0,0,D,7,8,3,2,16,23,6,6,2,1,0,0
2009-10-24,Tottenham,Stoke,0,1,A,0,0,D,22,8,12,2,8,18,7,1,0,3,0,0
2009-10-24,Wolves,Aston Villa,1,1,D,0,0,D,8,12,4,8,10,16,8,3,1,2,0,0
2009-10-25,Bolton,Everton,3,2,H,2,1,H,12,17,8,12,14,15,4,4,3,1,0,0
2009-10-25,Liverpool,Man United,2,0,H,0,0,D,11,7,6,5,20,11,5,1,2,3,1,1
2009-10-25,Man City,Fulham,2,2,D,0,0,D,20,11,7,5,11,12,14,2,0,2,0,0
2009-10-25,West Ham,Arsenal,2,2,D,0,2,A,15,15,9,10,17,15,6,8,3,2,1,0
2009-10-31,Arsenal,Tottenham,3,0,H,2,0,H,18,7,12,5,10,10,6,2,1,1,0,0
2009-10-31,Bolton,Chelsea,0,4,A,0,1,A,15,27,6,17,9,7,8,10,1,1,1,0
2009-10-31,Burnley,Hull,2,0,H,1,0,H,11,8,5,6,12,13,8,1,1,4,0,1
2009-10-31,Everton,Aston Villa,1,1,D,1,0,H,9,13,4,8,15,16,3,4,1,3,1,1
2009-10-31,Fulham,Liverpool,3,1,H,1,1,D,10,6,6,3,10,13,2,2,1,0,0,2
2009-10-31,Man United,Blackburn,2,0,H,0,0,D,20,2,11,1,10,21,7,2,0,2,0,0
2009-10-31,Portsmouth,Wigan,4,0,H,2,0,H,21,8,11,3,11,10,7,4,0,1,0,0
2009-10-31,Stoke,Wolves,2,2,D,2,0,H,10,11,5,7,13,15,4,3,0,3,0,0
2009-10-31,Sunderland,West Ham,2,2,D,1,2,A,17,15,7,9,12,16,7,3,3,3,1,1
2009-11-01,Birmingham,Man City,0,0,D,0,0,D,7,14,4,6,9,8,4,8,3,1,1,0
2009-11-04,West Ham,Aston Villa,2,1,H,1,0,H,14,13,7,10,11,12,6,14,2,4,0,1
2009-11-07,Aston Villa,Bolton,5,1,H,2,1,H,19,13,13,9,17,16,8,1,1,4,0,0
2009-11-07,Blackburn,Portsmouth,3,1,H,0,1,A,10,9,6,3,12,18,8,5,3,3,0,0
2009-11-07,Man City,Burnley,3,3,D,1,2,A,13,6,8,4,10,11,8,3,1,3,0,0
2009-11-07,Tottenham,Sunderland,2,0,H,1,0,H,10,14,8,6,10,19,4,4,1,2,0,0
2009-11-07,Wolves,Arsenal,1,4,A,0,3,A,8,11,6,6,9,15,4,4,2,3,0,0
2009-11-08,Chelsea,Man United,1,0,H,0,0,D,12,21,9,10,13,15,0,7,3,3,0,0
2009-11-08,Hull,Stoke,2,1,H,0,1,A,16,7,8,4,12,14,4,2,1,4,0,1
2009-11-08,West Ham,Everton,1,2,A,0,1,A,16,9,7,6,12,18,5,4,0,5,0,0
2009-11-08,Wigan,Fulham,1,1,D,1,1,D,19,7,12,3,15,16,10,6,2,1,0,0
2009-11-09,Liverpool,Birmingham,2,2,D,1,2,A,27,5,14,2,7,9,11,1,1,2,0,0
2009-11-21,Birmingham,Fulham,1,0,H,1,0,H,3,12,2,5,7,9,0,7,1,0,0,0
2009-11-21,Burnley,Aston Villa,1,1,D,1,0,H,11,10,6,6,6,12,6,8,0,3,0,0
2009-11-21,Chelsea,Wolves,4,0,H,3,0,H,23,4,14,3,4,14,5,6,0,2,0,0
2009-11-21,Hull,West Ham,3,3,D,3,2,H,12,16,8,10,9,17,5,3,0,4,1,0
2009-11-21,Liverpool,Man City,2,2,D,0,0,D,10,9,6,6,9,13,7,3,2,0,0,0
2009-11-21,Man United,Everton,3,0,H,1,0,H,18,11,11,5,4,6,13,4,2,2,0,0
2009-11-21,Sunderland,Arsenal,1,0,H,0,0,D,5,9,1,3,10,10,2,6,2,1,0,0
2009-11-22,Bolton,Blackburn,0,2,A,0,1,A,15,15,8,11,13,12,7,7,3,1,0,0
2009-11-22,Stoke,Portsmouth,1,0,H,0,0,D,9,14,3,7,15,13,4,4,1,2,0,0
2009-11-22,Tottenham,Wigan,9,1,H,1,0,H,28,11,16,5,9,11,10,5,1,0,0,0
2009-11-25,Fulham,Blackburn,3,0,H,1,0,H,8,7,4,3,7,13,3,3,0,0,0,0
2009-11-25,Hull,Everton,3,2,H,3,0,H,8,5,7,3,18,23,3,4,1,4,0,0
2009-11-28,Aston Villa,Tottenham,1,1,D,1,0,H,12,23,4,17,10,8,7,9,0,1,0,0
2009-11-28,Blackburn,Stoke,0,0,D,0,0,D,11,7,4,4,12,11,9,2,1,2,0,0
2009-11-28,Fulham,Bolton,1,1,D,0,1,A,12,4,7,2,7,21,8,5,1,6,0,0
2009-11-28,Man City,Hull,1,1,D,1,0,H,17,8,7,3,14,12,8,2,1,3,0,0
2009-11-28,Portsmouth,Man United,1,4,A,1,1,D,20,12,12,8,16,10,4,8,4,3,0,0
2009-11-28,West Ham,Burnley,5,3,H,3,0,H,9,16,5,10,10,15,1,7,2,1,0,1
2009-11-28,Wigan,Sunderland,1,0,H,0,0,D,16,9,10,4,12,14,5,8,0,3,0,0
2009-11-29,Arsenal,Chelsea,0,3,A,0,2,A,5,7,3,5,17,12,4,3,2,2,0,0
2009-11-29,Everton,Liverpool,0,2,A,0,1,A,12,9,8,7,15,12,6,4,1,0,0,0
2009-11-29,Wolves,Birmingham,0,1,A,0,1,A,8,13,2,7,14,8,6,5,2,1,0,0
2009-12-05,Arsenal,Stoke,2,0,H,1,0,H,12,5,8,4,3,7,10,2,0,0,0,0
2009-12-05,Aston Villa,Hull,3,0,H,2,0,H,13,5,6,1,15,15,9,3,4,3,0,0
2009-12-05,Blackburn,Liverpool,0,0,D,0,0,D,9,15,3,11,15,9,1,8,1,0,0,0
2009-12-05,Man City,Chelsea,2,1,H,1,1,D,13,10,8,6,12,17,9,6,1,6,0,0
2009-12-05,Portsmouth,Burnley,2,0,H,0,0,D,9,14,4,8,16,14,5,5,4,2,0,0
2009-12-05,West Ham,Man United,0,4,A,0,1,A,11,18,7,11,8,16,2,8,0,1,0,0
2009-12-05,Wigan,Birmingham,2,3,A,1,0,H,18,10,7,9,14,8,2,2,2,0,0,0
2009-12-05,Wolves,Bolton,2,1,H,1,0,H,12,17,11,10,9,16,11,10,2,1,0,0
2009-12-06,Everton,Tottenham,2,2,D,0,0,D,15,19,6,11,11,18,1,6,4,4,0,0
2009-12-06,Fulham,Sunderland,1,0,H,1,0,H,16,8,5,5,9,12,4,8,1,2,0,0
2009-12-12,Birmingham,West Ham,1,0,H,0,0,D,16,14,9,7,12,13,11,7,3,4,0,1
2009-12-12,Bolton,Man City,3,3,D,2,2,D,12,14,8,6,11,9,5,9,3,3,0,1
2009-12-12,Burnley,Fulham,1,1,D,0,0,D,10,12,8,6,12,8,7,4,0,2,0,0
2009-12-12,Chelsea,Everton,3,3,D,2,2,D,25,10,13,7,13,17,7,1,0,1,0,0
2009-12-12,Hull,Blackburn,0,0,D,0,0,D,9,14,7,9,14,19,3,4,1,2,0,0
2009-12-12,Man United,Aston Villa,0,1,A,0,1,A,16,8,9,5,4,14,9,4,1,1,0,0
2009-12-12,Stoke,Wigan,2,2,D,1,1,D,14,11,5,8,19,8,5,3,5,1,0,0
2009-12-12,Sunderland,Portsmouth,1,1,D,1,0,H,16,9,9,6,12,14,9,6,4,3,0,1
2009-12-12,Tottenham,Wolves,0,1,A,0,1,A,18,3,10,3,8,13,1,5,0,5,0,0
2009-12-13,Liverpool,Arsenal,1,2,A,1,0,H,6,7,3,5,19,16,3,4,3,3,0,0
2009-12-15,Birmingham,Blackburn,2,1,H,1,0,H,13,8,6,4,8,16,6,7,2,2,0,0
2009-12-15,Bolton,West Ham,3,1,H,0,0,D,23,9,12,6,10,7,8,4,4,1,0,0
2009-12-15,Man United,Wolves,3,0,H,2,0,H,12,4,9,1,11,11,8,3,1,1,0,0
2009-12-15,Sunderland,Aston Villa,0,2,A,0,1,A,15,11,5,4,16,14,7,1,2,2,1,0
2009-12-16,Burnley,Arsenal,1,1,D,1,1,D,8,17,3,9,11,11,3,6,2,0,0,0
2009-12-16,Chelsea,Portsmouth,2,1,H,1,0,H,21,7,8,3,11,11,11,2,0,0,0,0
2009-12-16,Liverpool,Wigan,2,1,H,1,0,H,12,8,7,5,12,11,13,0,1,1,0,0
2009-12-16,Tottenham,Man City,3,0,H,1,0,H,19,9,7,5,10,8,5,6,2,3,0,0
2009-12-19,Arsenal,Hull,3,0,H,1,0,H,18,6,9,2,9,14,8,0,1,5,0,0
2009-12-19,Aston Villa,Stoke,1,0,H,0,0,D,17,13,8,5,9,12,3,4,0,1,0,0
2009-12-19,Blackburn,Tottenham,0,2,A,0,1,A,13,7,9,2,7,6,5,0,0,1,0,0
2009-12-19,Fulham,Man United,3,0,H,1,0,H,10,16,7,4,10,9,5,2,0,1,0,0
2009-12-19,Man City,Sunderland,4,3,H,3,2,H,11,7,5,5,13,8,6,4,2,2,0,1
2009-12-19,Portsmouth,Liverpool,2,0,H,1,0,H,14,7,6,3,7,12,8,10,3,3,0,1
2009-12-20,Everton,Birmingham,1,1,D,1,1,D,19,2,7,1,8,9,6,4,0,3,0,0
